|                                                                                                                                                                                                                                                                                                                                                                                                            | Profit     |
+----------------------------------------------------+-------------------------------------------------------+-------------------------------------------------------------+--------------------------------------------------------+----------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+------------+
| <http://lod2.eu/schemas/rdfh#lo_orderdateYear1997> | <http://lod2.eu/schemas/rdfh#lo_suppkeyRegionAMERICA> | <http://lod2.eu/schemas/rdfh#lo_suppkeyNationUNITED-STATES> | <http://lod2.eu/schemas/rdfh#lo_suppkeyCityUNITED-ST0> | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-1> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-14> | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1410> |            |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1411> |    205.995 |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1412> |  2.553.466 |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1413> |  4.550.838 |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1414> | 10.498.887 |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1415> |            |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1416> |            |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1417> |  2.734.996 |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1418> |  4.295.889 |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-1419> |    535.510 |
|                                                    |                                                       |                                                             |                                                        |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-141>  |  6.605.321 |
