|                                                                                                                                                                                                                             | LO_REVENUE    |
+----------------------------------------------------+----------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------+
| <http://lod2.eu/schemas/rdfh#lo_orderdateYear1992> | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2221> | 6.454.889.774 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2222> | 6.145.529.840 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2223> | 6.963.662.726 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2224> | 6.342.052.111 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2225> | 6.362.152.529 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2226> | 6.480.017.777 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2227> | 6.851.682.713 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2228> | 6.651.263.325 |
| <http://lod2.eu/schemas/rdfh#lo_orderdateYear1993> | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2221> | 6.845.569.463 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2222> | 6.474.098.398 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2223> | 6.620.920.223 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2224> | 6.110.973.460 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2225> | 6.608.578.845 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2226> | 6.614.262.841 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2227> | 6.946.606.249 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2228> | 7.253.301.550 |
| <http://lod2.eu/schemas/rdfh#lo_orderdateYear1994> | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2221> | 6.588.811.668 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2222> | 6.424.022.190 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2223> | 6.559.306.902 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2224> | 6.631.704.291 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2225> | 6.565.389.460 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2226> | 6.626.318.100 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2227> | 6.867.209.133 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2228> | 6.653.935.901 |
| <http://lod2.eu/schemas/rdfh#lo_orderdateYear1995> | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2221> | 6.907.373.892 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2222> | 6.332.573.724 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2223> | 6.667.064.959 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2224> | 6.565.064.864 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2225> | 6.371.083.887 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2226> | 6.672.328.128 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2227> | 6.549.754.603 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2228> | 6.911.313.136 |
| <http://lod2.eu/schemas/rdfh#lo_orderdateYear1996> | <http://lod2.eu/schemas/rdfh#lo_partkeyMfgrMFGR-2> | <http://lod2.eu/schemas/rdfh#lo_partkeyCategoryMFGR-22> | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2221> | 6.933.778.608 |
|                                                    |                                                    |                                                         | <http://lod2.eu/schemas/rdfh#lo_partkeyBrand1MFGR-2222> | 6.096.192.174 |
